localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,imgsrctext,imgsrcurl,localdatasrctext,localdatasrcurl,globaldatasrctext,globaldatasrcurl,moreinfo
282.1292428,null,5/11/1966,null,null,,,,,,,,,,,
282.0935119,null,7/30/1966,null,null,,,,,,,,,,,
null,-0.189735197,8/18/1966,null,null,,,,,,,,,,,
282.0621528,null,9/29/1966,null,null,,,,,,,,,,,
281.9958188,null,2/2/1967,null,null,,,,,,,,,,,
null,-0.290305221,2/15/1967,null,null,,,,,,,,,,,
281.8440526,null,8/6/1967,null,null,,,,,,,,,,,
281.8024377,null,9/9/1967,null,null,,,,,,,,,,,
281.7736097,null,10/17/1967,null,null,,,,,,,,,,,
281.7123543,null,11/16/1967,null,null,,,,,,,,,,,
281.6757687,null,12/24/1967,null,null,,,,,,,,,,,
null,-0.308050455,12/27/1967,null,null,,,,,,,,,,,
281.6440645,null,1/1/1968,null,null,,,,,,,,,,,
281.5752487,null,2/26/1968,null,null,,,,,,,,,,,
null,-0.365239587,4/18/1968,null,null,,,,,,,,,,,
null,-0.373121792,5/10/1968,null,null,,,,,,,,,,,
281.2780276,null,10/31/1968,null,null,,,,,,,,,,,
281.2589295,null,11/29/1968,null,null,,,,,,,,,,,
281.2417378,null,12/10/1968,null,null,,,,,,,,,,,
281.2096391,null,1/14/1969,null,null,,,,,,,,,,,
281.1837038,null,2/15/1969,null,null,,,,,,,,,,,
281.1135239,null,5/14/1969,null,null,,,,,,,,,,,
null,-0.532853554,11/20/1970,null,null,,,,,,,,,,,
null,-0.546661796,2/18/1971,null,null,,,,,,,,,,,
280.630515,null,3/25/1971,null,null,,,,,,,,,,,
280.6009802,null,6/7/1971,null,null,,,,,,,,,,,
280.5775759,null,8/2/1971,null,null,,,,,,,,,,,
280.5553715,null,8/19/1971,null,null,,,,,,,,,,,
280.5398563,null,10/2/1971,null,null,,,,,,,,,,,
280.530751,null,10/27/1971,null,null,,,,,,,,,,,
280.5182271,null,10/30/1971,null,null,,,,,,,,,,,
280.4889224,null,12/18/1971,null,null,,,,,,,,,,,
280.4612449,null,2/8/1972,null,null,,,,,,,,,,,
null,-0.726103179,2/14/1972,null,null,,,,,,,,,,,
280.4355068,null,4/5/1972,null,null,,,,,,,,,,,
null,null,1/1/1973,-1000,0,,,,,,,,,,,
280.3297274,null,1/14/1973,null,null,,,,,,,,,,,
null,-0.686667499,2/9/1973,null,null,,,,,,,,,,,
null,-0.686667499,3/3/1973,null,null,,,,,,,,,,,
280.2476152,null,5/12/1973,null,null,,,,,,,,,,,
null,-0.69652231,6/1/1973,null,null,,,,,,,,,,,
280.2759337,null,6/17/1973,null,null,,,,,,,,,,,
280.1997219,null,11/5/1973,null,null,,,,,,,,,,,
280.1717979,null,12/19/1973,null,null,,,,,,,,,,,
280.1465199,null,1/23/1974,null,null,,,,,,,,,,,
280.1052995,null,3/12/1974,null,null,,,,,,,,,,,
