localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,intro,imgsrc,datasrc,fastfacts,moreinfo,moreinfosrc
114.3916104,114.3916104,10/31/94,null,null,,,,,,,,,,
114.1349423,114.1349423,12/1/94,null,null,,,,,,,,,,
113.5162572,113.5162572,12/31/94,null,null,,,,,,,,,,
114.2364603,114.2364603,1/31/95,null,null,,,,,,,,,,
114.7517119,114.7517119,3/2/95,null,null,,,,,,,,,,
113.5162572,113.5162572,4/2/95,null,null,,,,,,,,,,
113.9797922,113.9797922,5/2/95,null,null,,,,,,,,,,
113.92616,113.92616,6/1/95,null,null,,,,,,,,,,
113.6714074,113.6714074,7/2/95,null,null,,,,,,,,,,
113.4645405,113.4645405,8/1/95,null,null,,,,,,,,,,
113.92616,113.92616,9/1/95,null,null,,,,,,,,,,
null,null,9/24/95,2160,0,,,,,,,,,,
113.7231241,113.7231241,10/1/95,null,null,,,,,,,,,,
113.92616,113.92616,11/1/95,null,null,,,,,,,,,,
114.6999952,114.6999952,12/1/95,null,null,,,,,,,,,,
114.6999952,114.6999952,12/31/95,null,null,,,,,,,,,,
115.2152469,115.2152469,1/31/96,null,null,,,,,,,,,,
115.471915,115.471915,3/1/96,null,null,,,,,,,,,,
117.1191879,117.1191879,4/1/96,null,null,,,,,,,,,,
114.8034286,114.8034286,5/1/96,null,null,,,,,,,,,,
115.0600967,115.0600967,6/1/96,null,null,,,,,,,,,,
null,null,6/22/96,2160,-480,,,,,,,,,,
116.2438347,116.2438347,7/1/96,null,null,,,,,,,,,,
116.2955514,116.2955514,7/31/96,null,null,,,,,,,,,,
115.9354499,115.9354499,8/31/96,null,null,,,,,,,,,,
116.6575684,116.6575684,9/30/96,null,null,,,,,,,,,,
117.1191879,117.1191879,10/31/96,null,null,,,,,,,,,,
117.3777714,117.3777714,11/30/96,null,null,,,,,,,,,,
116.7590863,116.7590863,12/31/96,null,null,,,,,,,,,,
116.7590863,116.7590863,1/30/97,null,null,,,,,,,,,,
116.6039362,116.6039362,3/1/97,null,null,,,,,,,,,,
117.8393909,117.8393909,4/1/97,null,null,,,,,,,,,,
116.9142365,116.9142365,5/1/97,null,null,,,,,,,,,,
115.00838,115.00838,6/1/97,null,null,,,,,,,,,,
115.00838,115.00838,7/1/97,null,null,,,,,,,,,,
115.5753484,115.5753484,8/1/97,null,null,,,,,,,,,,
null,null,8/12/97,2160,-960,,,,,,,,,,
116.3472681,116.3472681,8/31/97,null,null,,,,,,,,,,
115.6787818,115.6787818,9/30/97,null,null,,,,,,,,,,
115.6787818,115.6787818,10/31/97,null,null,,,,,,,,,,
115.9871666,115.9871666,11/30/97,null,null,,,,,,,,,,
118.0979744,118.0979744,12/31/97,null,null,,,,,,,,,,
116.6039362,116.6039362,1/30/98,null,null,,,,,,,,,,
115.6787818,115.6787818,3/2/98,null,null,,,,,,,,,,
115.7285831,115.7285831,4/1/98,null,null,,,,,,,,,,
115.8339319,115.8339319,5/1/98,null,null,,,,,,,,,,
116.0388833,116.0388833,6/1/98,null,null,,,,,,,,,,
116.7073696,116.7073696,7/1/98,null,null,,,,,,,,,,
null,null,7/5/98,2160,-1440,,,,,,,,,,
117.7895896,117.7895896,8/1/98,null,null,,,,,,,,,,
117.0157544,117.0157544,8/31/98,null,null,,,,,,,,,,
117.5827228,117.5827228,10/1/98,null,null,,,,,,,,,,
119.9003975,119.9003975,10/31/98,null,null,,,,,,,,,,
119.9003975,119.9003975,11/30/98,null,null,,,,,,,,,,
121.7526217,121.7526217,12/31/98,null,null,,,,,,,,,,
123.2964612,123.2964612,1/30/99,null,null,,,,,,,,,,
121.2890868,121.2890868,3/2/99,null,null,,,,,,,,,,
124.6353493,124.6353493,4/1/99,null,null,,,,,,,,,,
123.7082795,123.7082795,5/2/99,null,null,,,,,,,,,,
123.5550448,123.5550448,6/1/99,null,null,,,,,,,,,,
null,null,6/15/99,0,-1920,,,,,,,,,,
124.3786812,124.3786812,7/1/99,null,null,,,,,,,,,,
124.7387827,124.7387827,8/1/99,null,null,,,,,,,,,,
120.7221185,120.7221185,8/31/99,null,null,,,,,,,,,,
124.4821146,124.4821146,10/1/99,null,null,,,,,,,,,,
122.884643,122.884643,10/31/99,null,null,,,,,,,,,,
122.9880764,122.9880764,11/30/99,null,null,,,,,,,,,,
123.1949433,123.1949433,12/31/99,null,null,,,,,,,,,,
123.9151463,123.9151463,1/30/00,null,null,,,,,,,,,,
128.9603984,128.9603984,3/1/00,null,null,,,,,,,,,,
123.7599962,123.7599962,3/31/00,null,null,,,,,,,,,,
121.2373701,121.2373701,5/1/00,null,null,,,,,,,,,,
120.9289853,120.9289853,5/31/00,null,null,,,,,,,,,,
122.1127233,122.1127233,6/30/00,null,null,,,,,,,,,,
121.6491883,121.6491883,7/31/00,null,null,,,,,,,,,,
123.1949433,123.1949433,8/30/00,null,null,,,,,,,,,,
null,null,9/13/00,0,0,,,,,,,,,,
124.2235311,124.2235311,9/30/00,null,null,,,,,,,,,,
120.6723172,120.6723172,10/30/00,null,null,,,,,,,,,,
117.9428243,117.9428243,11/29/00,null,null,,,,,,,,,,
117.8911076,117.8911076,12/30/00,null,null,,,,,,,,,,
116.4507015,116.4507015,1/29/01,null,null,,,,,,,,,,
117.6344395,117.6344395,3/1/01,null,null,,,,,,,,,,
115.9871666,115.9871666,3/31/01,null,null,,,,,,,,,,
