"date","insitu","mining","file","x","y"
"2001-03-31",13.21275291,35.35407725,NA,NA,NA
"2001-05-01",13.21275291,38.96382587,NA,NA,NA
"2001-05-31",12.69734825,41.07526058,NA,NA,NA
"2001-06-30",15.32227161,38.19359289,NA,NA,NA
"2001-07-31",15.17090742,36.74701104,NA,NA,NA
"2001-08-07",NA,NA,"athabasca_tm5_20010807",-720,-1920
"2001-09-30",16.7152054,34.9977008,NA,NA,NA
"2001-10-30",18.10813918,38.86227774,NA,NA,NA
"2001-12-30",17.54100245,37.5785561,NA,NA,NA
"2002-01-29",17.90121091,37.47125996,NA,NA,NA
"2002-03-01",17.63871858,36.07449418,NA,NA,NA
"2002-03-31",16.24386879,35.61465359,NA,NA,NA
"2002-05-01",16.50252912,37.25858369,NA,NA,NA
"2002-05-31",16.0905886,36.38297057,NA,NA,NA
"2002-07-31",15.47363581,32.72915389,NA,NA,NA
"2002-08-30",14.95631514,32.2673973,NA,NA,NA
"2002-09-11",NA,NA,"athabasca_tm5_20020911",-1440,-1920
"2002-10-01",16.0905886,32.37660944,NA,NA,NA
"2002-10-31",14.95631514,33.19857449,NA,NA,NA
"2002-12-01",14.90649908,34.49187615,NA,NA,NA
"2002-12-31",15.93347639,33.76571122,NA,NA,NA
"2003-01-30",15.82809626,33.81744329,NA,NA,NA
"2003-03-02",14.69573881,34.79652054,NA,NA,NA
"2003-04-01",15.82809626,34.64132434,NA,NA,NA
"2003-05-02",14.69573881,31.60254445,NA,NA,NA
"2003-06-01",14.13051809,30.7786634,NA,NA,NA
"2003-08-01",14.17650215,31.39178418,NA,NA,NA
"2003-08-31",16.08484059,31.34771613,NA,NA,NA
"2003-09-30",NA,NA,"athabasca_tm5_20030930",-2160,-1920
"2003-10-01",15.20347946,31.29598406,NA,NA,NA
"2003-10-31",15.36059166,29.18071735,NA,NA,NA
"2003-12-01",15.41423973,25.83729307,NA,NA,NA
"2003-12-31",15.71888412,25.37362048,NA,NA,NA
"2004-03-01",15.71888412,24.80456775,NA,NA,NA
"2004-03-31",15.51387186,24.19336297,NA,NA,NA
"2004-05-01",15.97946045,23.92895463,NA,NA,NA
"2004-05-31",14.843271,23.72777437,NA,NA,NA
"2004-06-28",NA,NA,"athabasca_tm5_20040628",0,-2400
"2004-07-31",14.843271,24.86396383,NA,NA,NA
"2004-08-30",14.73597486,25.32188841,NA,NA,NA
"2004-09-30",13.09779277,25.47708461,NA,NA,NA
"2004-10-30",12.94068056,25.68401288,NA,NA,NA
"2004-11-30",14.07303801,25.78747701,NA,NA,NA
"2004-12-30",13.30280503,25.83729307,NA,NA,NA
"2005-01-30",13.30280503,26.4025138,NA,NA,NA
"2005-03-01",13.76647762,26.60561006,NA,NA,NA
"2005-03-31",13.71666156,26.559626,NA,NA,NA
"2005-05-01",13.56338136,26.60561006,NA,NA,NA
"2005-05-31",13.51164929,26.4025138,NA,NA,NA
"2005-07-01",13.56338136,25.68401288,NA,NA,NA
"2005-07-31",13.76647762,25.42343654,NA,NA,NA
"2005-08-31",13.09779277,25.00766401,NA,NA,NA
"2005-09-30",12.94068056,24.49034335,NA,NA,NA
"2005-10-05",NA,NA,"athabasca_tm5_20051005",-720,-2400
"2005-12-30",13.19742489,23.40205395,NA,NA,NA
"2006-01-30",13.50781729,22.68546904,NA,NA,NA
"2006-03-01",13.50781729,21.08752299,NA,NA,NA
"2006-05-01",13.70899755,21.85583998,NA,NA,NA
"2006-05-31",12.88320049,21.90565604,NA,NA,NA
