localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,intro,imgsrc,datasrc,fastfacts,moreinfo,moreinfosrc
135.54949,421.8,27302,null,null,,,,,,,,,,
138.5873677,426.03,27333,null,null,,,,,,,,,,
137.9686827,466.58,27363,null,null,,,,,,,,,,
138.2253508,null,27393,null,null,,,,,,,,,,
null,459.83,27394,null,null,,,,,,,,,,
138.9455538,null,27424,null,null,,,,,,,,,,
null,427.87,27425,null,null,,,,,,,,,,
null,459.26,27453,null,null,,,,,,,,,,
139.3075708,null,27454,null,null,,,,,,,,,,
null,421.46,27484,null,null,,,,,,,,,,
141.1080783,null,27485,null,null,,,,,,,,,,
null,413.99,27514,null,null,,,,,,,,,,
141.7267634,null,27515,null,null,,,,,,,,,,
null,414.65,27545,null,null,,,,,,,,,,
143.8375712,null,27546,null,null,,,,,,,,,,
null,421.68,27575,null,null,,,,,,,,,,
146.7202988,null,27576,null,null,,,,,,,,,,
null,423.56,27606,null,null,,,,,,,,,,
145.3814107,null,27607,null,null,,,,,,,,,,
148.6759565,416.15,27637,null,null,,,,,,,,,,
142.343533,435.24,27667,null,null,,,,,,,,,,
141.8282814,441.68,27698,null,null,,,,,,,,,,
139.4090887,478.23,27728,null,null,,,,,,,,,,
140.9548437,461.86,27759,null,null,,,,,,,,,,
139.8228224,null,27789,null,null,,,,,,,,,,
null,426.98,27790,null,null,,,,,,,,,,
137.4017143,453.36,27819,null,null,,,,,,,,,,
139.5642389,419.7,27850,null,null,,,,,,,,,,
138.1238328,408.43,27880,null,null,,,,,,,,,,
139.1524206,412.71,27911,null,null,,,,,,,,,,
141.0582771,416.93,27941,null,null,,,,,,,,,,
142.9105014,419.13,27972,null,null,,,,,,,,,,
142.3952497,null,28002,null,null,,,,,,,,,,
null,413.55,28003,null,null,,,,,,,,,,
140.9031269,null,28032,null,null,,,,,,,,,,
null,437.42,28033,null,null,,,,,,,,,,
143.0656515,null,28063,null,null,,,,,,,,,,
null,441.03,28064,null,null,,,,,,,,,,
146.1552459,null,28093,null,null,,,,,,,,,,
null,482.43,28094,null,null,,,,,,,,,,
147.2355504,null,28124,null,null,,,,,,,,,,
null,449.3,28125,null,null,,,,,,,,,,
155.5753484,null,28154,null,null,,,,,,,,,,
null,415.65,28156,null,null,,,,,,,,,,
null,440.11,28184,null,null,,,,,,,,,,
153.5660585,null,28185,null,null,,,,,,,,,,
153.4128238,407.76,28215,null,null,,,,,,,,,,
151.5088828,400.46,28245,null,null,,,,,,,,,,
147.7488867,404.8,28276,null,null,,,,,,,,,,
null,412.3,28306,null,null,,,,,,,,,,
149.8079778,410.62,28337,null,null,,,,,,,,,,
151.5605995,null,28367,null,null,,,,,,,,,,
null,402.78,28368,null,null,,,,,,,,,,
151.6621175,426.11,28398,null,null,,,,,,,,,,
153.0527223,null,28428,null,null,,,,,,,,,,
null,426.48,28429,null,null,,,,,,,,,,
155.471915,null,28458,null,null,,,,,,,,,,
null,463.09,28459,null,null,,,,,,,,,,
149.3961596,null,28489,null,null,,,,,,,,,,
null,450.01,28490,null,null,,,,,,,,,,
146.4099986,null,28519,null,null,,,,,,,,,,
null,416.69,28521,null,null,,,,,,,,,,
null,445,28549,null,null,,,,,,,,,,
107.0804003,null,28550,null,null,,,,,,,,,,
146.2567639,409.9,28580,null,null,,,,,,,,,,
null,396.41,28610,null,null,,,,,,,,,,
118.5097927,null,28611,null,null,,,,,,,,,,
143.4238376,400.88,28641,null,null,,,,,,,,,,
141.159795,406.75,28671,null,null,,,,,,,,,,
141.0582771,405.91,28702,null,null,,,,,,,,,,
144.9695925,null,28732,null,null,,,,,,,,,,
